Block,CT1,CT2,CT3,CTDC
1,,,,
,,,,
,,,,
2,,,,
,,,,
,,,,
3,,,,
,,,,
,,,,
4,,,,
,,,,
,,,,
5,,,,
,,,,
,,,,
6,,,,
,,,,
,,,,
