Block,CT1,CT2,CT3,CTDC
1,38.3,36.9,37.6,37.9
,31.4,32.6,39.7,39.3
,40.9,40.3,38.9,25.3
2,28.1,33.3,30.9,35.0
,38.0,35.7,29.8,35.4
,29.8,27.1,36.2,34.6
3,30.9,36.5,29.1,33.0
,29.4,30.8,46.3,30.6
,36.7,33.5,30.3,32.0
4,28.6,35.9,30.2,30.6
,34.5,39.5,32.2,39.2
,39.5,37.9,31.0,27.4
5,28.8,32.6,29.2,30.7
,35.9,29.5,34.5,33.6
,38.0,40.3,36.7,36.5
6,32.5,38.7,36.8,36.3
,30.8,26.8,36.5,30.4
,27.9,36.0,28.2,32.0
