Block,CT1,CT2,CT3,CTDC
1,11.0,14.0,12.0,11.0
,10.0,11.0,12.0,10.0
,12.0,,10.0,13.0
2,15.0,11.0,13.0,12.0
,10.0,15.0,16.0,11.0
,12.0,10.0,11.0,13.0
3,10.0,10.0,13.0,10.0
,,11.0,11.0,8.0
,14.0,,5.0,11.0
4,12.0,,14.0,9.0
,9.0,11.0,11.0,9.0
,11.0,10.0,8.0,13.0
5,13.0,11.0,10.0,16.0
,20.0,9.0,15.0,17.0
,15.0,14.0,10.0,14.0
6,12.0,9.0,14.0,13.0
,14.0,14.0,12.0,12.0
,11.0,15.0,13.0,11.0
