Block,CT1,CT2,CT3,CTDC
1,8.0,8.0,13.0,10.0
,7.0,10.0,8.0,6.0
,8.0,9.0,7.0,7.0
2,8.0,5.0,7.0,7.0
,5.0,8.0,6.0,5.0
,8.0,8.0,7.0,10.0
3,7.0,6.0,10.0,9.0
,3.0,7.0,8.0,5.0
,13.0,8.0,3.0,8.0
4,8.0,6.0,12.0,9.0
,7.0,6.0,8.0,6.0
,9.0,9.0,7.0,7.0
5,6.0,6.0,7.0,10.0
,5.0,8.0,8.0,7.0
,10.0,10.0,5.0,8.0
6,6.0,3.0,9.0,9.0
,7.0,7.0,7.0,6.0
,10.0,10.0,7.0,6.0
