Block,CT1,CT2,CT3,CTDC
1,50.9,53.3,51.9,50.7
,47.9,49.5,42.8,51.1
,47.1,50.3,47.7,51.8
2,49.3,46.2,48.9,52.0
,52.6,46.6,46.1,47.9
,48.0,48.1,44.0,49.5
3,50.1,46.3,44.6,48.1
,47.7,47.3,46.6,46.8
,52.2,47.7,44.1,47.5
4,45.3,47.8,40.7,46.0
,50.5,53.3,45.1,45.1
,46.7,47.0,44.3,44.1
5,44.8,48.8,44.1,44.9
,44.9,45.8,45.8,46.2
,48.3,45.1,46.0,47.1
6,47.4,45.5,46.5,44.2
,49.3,44.8,44.0,42.2
,43.1,40.9,44.9,42.5
